"Choose an Option...", "Scegliere un'Opzione..."
"can't be added to cart as they are Out Of Stock", "non possono essere aggiunti al carrello come sono Fuori Stock"
"Product(s) has been added to cart.", "Prodotto(s) è stato aggiunto al carrello."
"An error occurred while deleting the item from wishlist.", "Si è verificato un errore durante l'eliminazione dalla lista dei desideri."
"Item successfully deleted from wishlist.", "Elemento eliminato dalla lista dei desideri."
"Invalid review.", "Voci di revisione."
"Your Review (submitted on", "La tua Recensione (presentata il"
"A customer with the same email already exists in an associated website.", "Un cliente con la stessa e-mail già esistente in un sito web associato."
"The password doesn't match this account.", "La password non corrisponde a questo account."
"Password confirmation doesn't match entered password.", "Conferma della Password non corrisponde password inserita."
"You saved the account information.", "Hai salvato le informazioni di account."
"The account is locked. Please wait and try again or contact %1.", "L'account è bloccato. Si prega di attendere e riprovare o contattare %1."
"The address has been saved.", "L'indirizzo è stato salvato."
"Your review has been accepted for moderation.", "La tua recensione è stata accettata per la moderazione."
"Can't delete item from wishlist", "Non è possibile eliminare un elemento dalla lista dei desideri"
"Can't save description %1", "Non è possibile salvare descrizione %1"
"Can't update wishlist", "Non può aggiornare la lista dei desideri"
"Wishlist updated successfully", "Wishlist aggiornato con successo"
"Item id is invalid", "Item id non è valido"
"Invalid data.", "Dati non validi."
"Product(s) has successfully moved to cart.", "Prodotto(s) è stato spostato correttamente al carrello."
"Invalid Notification Id", "Voci Di Notifica Id"
"Invalid Image.", "Immagine Non Valida."
"You saved the alert subscription.", "Hai salvato l'avviso di sottoscrizione."
"There are not enough parameters.", "Non ci sono parametri sufficienti."
"We can't update the alert subscription right now.", "Non siamo in grado di aggiornare l'avviso di sottoscrizione adesso."
"Alert subscription has been saved.", "Avviso di sottoscrizione è stato salvato."
"%1 for "%2".", "%1 di %2."
"We can't add this item to your shopping cart right now.", "Non siamo in grado di aggiungere questo articolo al tuo carrello al momento."
"We couldn't add the following product(s) to the shopping cart: %1.", "Non abbiamo potuto aggiungere il seguente prodotto al carrello: %1."
"We can't update the Wish List right now.", "Noi non possiamo aggiornare la Lista dei Desideri proprio ora."
"%1 product(s) have been added to shopping cart: %2.", "%1 prodotto(i) sono stati aggiunti al carrello: %2."
"You entered incorrect data. Please try again.", "Hai inserito dati non corretti. Si prega di riprovare."
"Page Not Found.", "Pagina Non Trovata."
"Message length must not exceed %1 symbols", "Messaggio di lunghezza non deve superare %1 simboli"
"Please enter an email address.", "Si prega di inserire un indirizzo email."
"Sharing Limit over.This wish list can be shared %1 more times.", "Condivisione Limite sopra.La lista dei desideri può essere condivisa %1 più volte."
"Please enter a valid email.", "Si prega di inserire un indirizzo email valido."
"Wishlist shared successfully.", "Lista dei desideri condivisi con successo."
"Invalid Data.", "Dati Non Validi."
"Missing Required Information", "Mancanti Informazioni Richieste"
"Our apps also available at", "La nostra app disponibile anche in"
"Play store link", "Play store link"
"App tore link", "App tore link"
"Close button", "Pulsante di chiusura"
