"Choose an Option...", "اختيار خيار..."
"We can't add this item to your shopping cart right now.", "لا يمكننا إضافة هذا العنصر إلى سلة التسوق الخاصة بك الآن."
"We couldn't add the following product(s) to the shopping cart: %1.", "لم نتمكن من إضافة المنتجات التالية(s) إلى عربة التسوق: %1."
"We can't update the Wish List right now.", "لا يمكننا تحديث قائمة الآن."
"%1 product(s) have been added to shopping cart: %2.", "%1 المنتج(ق) تمت إضافتها إلى عربة التسوق: %2."
"You entered incorrect data. Please try again.", "يمكنك إدخال بيانات غير صحيحة. يرجى المحاولة مرة أخرى."
"Page Not Found.", "لم يتم العثور على الصفحة."
"Message length must not exceed %1 symbols", "طول الرسالة يجب أن لا تتجاوز %1 حرف"
"Please enter an email address.", "يرجى إدخال عنوان البريد الإلكتروني."
"Sharing Limit over.This wish list can be shared %1 more times.", "تقاسم حد أكثر.هذه قائمة الأمنيات يمكن أن تكون مشتركة من %1 أكثر من مرة."
"Please enter a valid email.", "الرجاء إدخال بريد إلكتروني صالح."
"Wishlist shared successfully.", "الأماني المشتركة بنجاح."
"Invalid Data.", "بيانات غير صالحة."
"Missing Required Information", "في عداد المفقودين المعلومات المطلوبة"
"Our apps also available at", "تطبيقات لدينا في"
"Play store link", "رابط متجر اللعب"
"App tore link", "التطبيق مزق الرابط"
"Close button", "زر إغلاق"
"available","متاح"
