"Choose an Option...", "选择..."
"You have no default shipping address in your address book.", "你有没有默认收货地址在你的地址簿。"
"You have no other address entries in your address book.", "你有没有其他的地址的条目，在你的地址簿。"
"Invalid email address.", "无效的电子邮件地址。"
"You must confirm your account. Please check your email for the confirmation link", "你必须确认你的帐户。 请检查你的电子邮件确认链接"
"Your are now Loggedin", "你现在用"
"There is already an account with this email address.", "已经有一个账户，这个电子邮件地址。"
"Your Account has been successfully created", "你的账户已经成功地创造了"
"The address has been deleted.", "地址已被删除。"
"Requested link does not exist.", "请求的链路并不存在。"
"An error occurred while getting the requested content. Please contact the store owner.", "发生错误，而让该请求的内容。 请联系的商店所有者。"
"The link has expired.", "链接已经过期。"
"The link is not available.", "该链接是不可能的。"
"If there is an account associated with %1 you will receive an email with a link to reset your password.", "如果有一个帐户与相关联%1你会收到一封电子邮件与一位您的密码。"
"Too many password reset requests. Please wait and try again or contact %1.", "太多的密码重置的请求。 请稍候再试一次或接触%1."
"This account is not confirmed.", "这个帐户是没有得到证实。"
"Invalid login or password.", "无效登录名和密码。"
"Sorry This Order Does not Exist!!", "对不起这个为了不存在的！"
"No shipping information available", "没有航运信息的提供"
"Invalid Order.", "无效顺序。"
"Tax", "税务"
"Following Products", "下面的产品"
"can't be added to cart as they are Out Of Stock", "不能加入到车作为他们的股票"
"Product(s) has been added to cart.", "产品(s)已经加入到车。"
"An error occurred while deleting the item from wishlist.", "错误发生，同时删除该项的心愿。"
"Item successfully deleted from wishlist.", "项目成功地从中删除的心愿。"
"Invalid review.", "无效审查。"
"Your Review (submitted on", "你的审查(提交上"
"A customer with the same email already exists in an associated website.", "客户相同的电子邮件已经存在一个相关的网站。"
"The password doesn't match this account.", "密码不符，这个帐户。"
"Password confirmation doesn't match entered password.", "确认密码不匹配输入密码。"
"You saved the account information.", "保存的帐户信息。"
"The account is locked. Please wait and try again or contact %1.", "该帐户是锁着的。 请稍候再试一次或接触%1."
"The address has been saved.", "地址已经保存。"
"Your review has been accepted for moderation.", "你的查看已经被接受为缓和。"
"Can't delete item from wishlist", "不能删除项愿望清单"
"Can't save description %1", "不能保存说明%1"
"Can't update wishlist", "不能更新的心愿"
"Wishlist updated successfully", "愿望清单更新后的成功"
"Item id is invalid", "项目标识是无效的"
"Invalid data.", "无效数据。"
"Product(s) has successfully moved to cart.", "产品(s)已经成功地搬到车。"
"Invalid Notification Id", "无效的通知Id"
"Invalid Image.", "无效的图像。"
"You saved the alert subscription.", "你救了警报订阅。"
"There are not enough parameters.", "没有足够的参数。"
"We can't update the alert subscription right now.", "我们不能更新的警报订阅的权利。"
"Alert subscription has been saved.", "警报订阅已经保存。"
"%1 for "%2".", "%的1%2."
"We can't add this item to your shopping cart right now.", "我们不能加入这个项目要你的购物车现在。"
"We couldn't add the following product(s) to the shopping cart: %1.", "我们不能添加下列产品(s)购物车:%1."
"We can't update the Wish List right now.", "我们不能更新该愿望表现在。"
"%1 product(s) have been added to shopping cart: %2.", "%1项产品(s)已经加入到购物车:%2."
"You entered incorrect data. Please try again.", "你进入了不正确的数据。 请再试一次。"
"Page Not Found.", "页面没有找到。"
"Message length must not exceed %1 symbols", "信息的长度不得超过%1个符号"
"Please enter an email address.", "请输入电子邮件地址。"
"Sharing Limit over.This wish list can be shared %1 more times.", "共享的限制。这种愿望清单可以共享%1次。"
"Please enter a valid email.", "请输入一个有效的电子邮件。"
"Wishlist shared successfully.", "愿望清单共享成功。"
"Invalid Data.", "无效数据。"
"Missing Required Information", "缺少必要的信息"
"Our apps also available at", "我们的应用程序也可以在"
"Play store link", "玩储存链接"
"App tore link", "应用程序撕毁了链接"
"Close button", "关闭按钮"
